est,fol,pid,sex,age,id1,id2,id3,id4,id5,id6,id7,id8,id9
140000,1,140001,0,65,5,5,5,5,5,5,5,5,5
140000,2,140002,0,30,4,3,4,4,3,4,4,4,3
140000,3,140003,1,63,4,4,5,5,4,4,3,4,4
140000,4,140004,1,21,3,3,4,4,3,2,3,3,2
140000,5,140005,0,26,5,5,5,5,5,5,5,5,5
140000,6,140006,0,23,3,5,5,3,5,3,5,4,3
140000,7,140007,1,51,2,1,1,3,1,3,1,3,3
140000,8,140008,1,18,5,4,5,3,4,3,3,4,4
140000,9,140009,1,18,4,3,4,3,3,3,3,3,3
140000,10,140010,1,18,3,2,4,2,3,3,2,3,2
140000,11,140011,0,46,4,4,5,5,4,4,4,4,4
140000,12,140012,1,34,5,5,5,5,5,5,5,5,5
140000,13,140013,1,39,4,5,4,5,5,4,5,5,5
140000,14,140014,1,45,4,4,4,4,4,4,4,4,4
140000,15,140015,1,43,5,4,5,3,3,3,4,4,5
140000,16,140016,0,29,5,5,5,4,5,4,5,4,4
140000,17,140017,1,59,5,5,5,4,3,3,4,4,3
140000,19,140019,0,23,4,4,5,3,3,3,4,4,4
140000,20,140020,1,21,5,5,5,3,3,4,5,4,4
140000,21,140021,0,23,3,5,5,5,3,3,5,5,3
140000,22,140022,1,22,4,4,4,3,3,3,4,4,4
140000,23,140023,0,27,5,5,5,4,5,2,4,4,5
140000,24,140024,0,20,3,5,4,3,4,3,4,3,3
140000,25,140025,1,20,4,4,4,3,3,3,3,3,4
140000,26,140026,0,30,4,4,4,4,4,4,4,4,4
140000,27,140027,1,27,5,5,5,5,5,3,5,5,5
140000,28,140028,1,22,4,4,5,3,3,3,4,4,3
140000,29,140029,1,27,4,3,4,3,4,3,4,4,3
140000,30,140030,0,56,5,5,5,5,5,5,4,4,5
140000,34,140034,1,35,5,5,5,5,4,3,4,4,3
140000,35,140035,1,30,4,4,5,4,3,3,3,4,3
140000,36,140036,0,30,4,5,5,4,4,3,4,4,2
140000,37,140037,1,39,5,5,5,5,5,4,5,5,1
140000,38,140038,1,29,5,5,5,5,5,4,5,5,3
140000,39,140039,1,38,5,5,5,5,5,4,5,5,1
