pid,Edad,Genero,idc1,idc2,idc3,idc4,idc5,idc6,idc7,idc8,idc9
5001,54,2,6,5,6,6,4,6,6,6,5
5002,34,2,7,7,7,7,7,7,7,7,7
5003,29,2,7,7,7,7,3,3,3,4,4
5005,40,1,6,7,7,7,7,7,7,7,7
5006,38,2,4,5,6,4,4,4,4,4,4
5008,20,2,7,6,7,6,5,7,7,7,7
5009,40,2,7,7,7,7,7,7,7,7,7
5010,28,2,5,7,7,5,5,4,6,4,4
5012,35,1,7,7,7,7,7,7,7,7,4
5013,32,2,7,7,7,7,7,7,7,7,7
5014,39,1,7,7,7,7,7,7,7,7,7
5015,33,2,7,7,7,7,7,5,7,7,7
5016,25,1,5,5,7,7,5,2,2,6,7
5017,23,1,7,7,6,6,6,7,6,7,6
5018,54,2,5,7,7,7,6,5,6,5,6
5019,43,2,7,7,7,7,7,7,7,7,7
5020,48,2,3,5,3,2,3,2,3,2,2
5022,58,1,1,4,1,1,3,1,3,1,1
5023,40,1,5,5,5,4,5,3,3,4,3
5024,34,1,5,6,6,6,6,6,6,6,6
5025,37,2,7,7,7,7,7,7,7,7,7
5026,21,1,7,7,7,7,7,7,7,7,7
5027,27,1,7,7,7,6,7,5,5,6,4
5028,24,2,7,7,7,7,7,7,7,7,7
5029,30,1,3,7,7,4,2,1,5,3,1
5033,25,2,6,6,6,5,5,5,5,6,5
5034,33,2,7,7,7,7,7,7,7,7,4
5035,27,2,7,7,7,4,4,4,7,7,7
5036,56,1,7,7,7,7,7,7,7,7,7
5037,52,2,7,4,7,4,4,4,4,4,4
5041,49,1,7,7,7,7,6,6,7,7,7
5047,52,1,7,7,7,7,7,7,7,7,7
5048,29,1,7,7,7,7,7,7,7,7,7
5051,64,1,5,5,5,5,5,5,5,5,5
5052,39,1,6,7,7,7,7,6,7,7,6
5054,33,2,7,7,7,6,6,6,7,7,6
5055,59,2,7,7,6,7,6,6,6,6,6
5056,34,2,7,7,7,6,6,6,6,6,6
5057,52,1,7,7,7,7,7,7,7,7,7
5058,,2,7,7,7,,7,4,5,7,3
5059,38,2,7,7,7,7,7,7,7,7,7
5060,24,2,7,7,7,7,7,7,7,7,7
5061,48,2,7,7,7,7,5,5,7,7,7
5062,34,2,6,6,7,7,5,5,5,6,5
5063,42,1,6,2,7,7,4,2,2,6,4
5064,22,2,5,6,7,4,4,4,7,5,5
5065,39,2,3,4,3,3,3,2,3,2,3
5091,64,1,7,7,7,7,7,7,7,7,5
5092,21,1,7,7,6,7,5,6,5,7,7
5093,47,1,7,7,7,7,7,5,7,7,7
5094,21,2,7,7,7,5,5,4,6,6,6
5095,21,2,7,5,7,5,6,7,7,7,7
5096,18,1,7,7,,6,6,7,6,5,5
5097,54,1,7,7,7,7,7,7,7,7,7
5098,26,2,7,7,7,7,7,6,6,7,7
5099,25,2,7,4,7,7,7,5,7,7,7
5100,37,1,7,7,7,7,6,7,7,6,6
5101,27,2,5,4,7,5,2,2,4,5,4
5102,32,2,7,7,7,7,7,7,7,7,7
5103,31,2,4,7,5,6,7,7,7,7,6
5104,23,1,4,5,6,7,7,1,2,1,3
5105,37,2,3,5,5,7,5,5,5,5,5
5106,20,1,7,7,7,7,7,5,5,6,7
5107,52,2,7,7,7,7,7,7,7,7,7
5108,30,2,4,4,7,6,4,4,4,4,4
5109,20,2,7,5,7,7,6,6,6,7,7
5111,29,2,5,6,7,7,6,6,6,6,6
5112,24,2,7,7,7,4,4,4,6,7,7
5113,30,2,6,6,7,6,6,4,6,6,6
5117,49,1,7,,,,,,,,
5118,30,2,7,7,7,7,7,7,7,7,6
5119,59,1,1,1,1,1,1,1,1,1,1
5126,49,2,7,5,7,5,5,5,7,7,7
5127,42,1,7,7,7,7,6,6,6,7,7
5128,41,2,7,7,7,5,5,3,5,5,5
5129,41,1,7,7,7,7,7,7,7,7,7
5130,67,1,7,7,7,7,7,7,7,7,7
5131,22,1,7,7,7,6,6,6,7,7,6
5132,50,2,7,7,7,6,6,6,7,7,6
5133,62,2,7,7,7,7,7,7,7,7,7
5134,31,1,6,6,7,6,5,5,7,7,5
5135,26,2,6,7,7,7,6,6,7,7,7
5136,21,2,7,7,7,7,7,7,7,7,7
5137,30,2,5,7,6,6,6,6,7,7,5
