pid,age,sex,idm1,idm2,idm3,idm4,idm5,idm6,idm7,idm8,idm9
1001,23,1,4,4,4,2,4,2,3,5,5
1002,18,1,4,3,4,3,3,3,3,4,3
1003,26,1,5,5,5,5,4,4,5,5,5
1004,22,1,4,5,5,5,4,4,4,4,5
1005,20,1,2,3,4,1,3,1,4,2,1
1006,18,1,5,5,5,4,5,4,4,4,5
1007,18,1,5,5,5,5,5,3,5,5,5
1008,18,0,4,5,5,4,3,3,4,4,3
1009,18,1,3,5,1,2,4,2,3,2,2
1010,18,0,5,4,5,3,3,3,4,4,3
1011,18,0,5,5,5,5,5,4,5,5,5
1012,18,0,5,5,5,5,5,4,5,5,5
1013,19,0,5,5,5,5,5,5,4,5,5
1014,18,0,5,5,5,4,5,3,5,5,5
1015,18,0,5,5,5,5,5,5,5,5,5
1016,18,0,1,5,1,3,3,1,4,3,1
1017,19,0,5,4,5,4,5,3,4,5,3
1018,21,0,5,5,5,5,5,4,4,4,4
1019,19,1,3,3,5,3,4,4,5,3,1
1020,19,0,5,5,5,5,5,4,4,4,4
1021,19,1,5,5,5,4,4,3,4,5,4
1022,21,1,3,5,5,4,3,3,4,3,1
1023,18,0,5,4,5,4,5,5,5,5,4
1024,23,1,4,5,5,4,4,4,4,4,4
1025,21,0,5,5,5,3,4,4,4,5,4
1026,19,0,4,3,4,4,4,3,4,4,4
1027,19,0,5,5,5,5,5,4,5,5,5
1028,20,0,4,4,4,4,4,3,4,4,3
1029,20,0,5,5,5,3,4,3,4,4,4
1030,19,0,5,5,5,5,5,4,5,5,5
1031,19,0,5,5,5,4,4,4,4,4,4
1032,24,0,5,5,5,5,5,5,5,5,5
1033,28,1,3,5,4,4,4,3,4,4,2
1034,21,1,4,4,5,4,4,3,3,4,5
1035,20,1,4,5,5,4,4,3,4,4,4
1036,24,1,4,3,5,4,3,2,3,3,4
1037,20,0,5,5,5,3,5,3,5,5,5
1038,21,1,4,5,5,1,5,1,1,3,3
1039,21,0,4,4,4,4,4,3,4,4,3
1040,19,1,5,5,5,5,5,4,4,5,5
1041,19,1,4,1,4,3,3,2,4,4,3
1042,26,1,5,5,5,3,3,3,5,4,3
1043,21,1,5,4,5,5,5,4,4,5,5
1044,24,0,5,4,5,5,5,3,4,5,5
1045,22,0,5,5,5,5,5,5,5,5,5
1046,20,1,4,4,4,4,4,3,4,4,3
1047,20,0,4,5,5,5,4,4,5,5,5
1048,20,0,5,4,5,5,5,3,4,5,5
1049,19,0,2,5,1,3,5,3,4,4,2
1050,19,0,4,4,4,4,4,4,4,4,3
1051,26,0,5,5,5,5,5,4,5,5,5
1052,21,0,3,5,3,3,4,3,4,3,3
1053,26,1,2,5,3,3,4,3,5,4,3
1054,30,1,4,4,4,4,4,4,4,4,4
1055,28,0,4,4,4,4,4,4,4,4,4
1056,19,1,4,4,4,4,4,4,4,4,3
1057,19,1,5,5,5,5,5,5,5,5,5
1058,20,0,4,3,4,3,4,3,3,4,4
1059,24,0,5,5,5,5,5,5,5,5,5
1060,19,0,5,5,5,5,5,5,5,5,5
1061,19,0,5,5,5,5,5,4,5,5,5
